Date,Price,Open,High,Low,,
10/14/2021,85.35,85.625,85.825,85.495,,
10/13/2021,85.34,85.925,85.95,85.495,,
10/12/2021,85.24,85.775,85.85,85.4,,
10/11/2021,85.55,85.625,85.625,85.575,,
10/8/2021,85.2,85.565,85.565,85.565,,
10/7/2021,85.37,85.875,85.95,85.485,,
10/6/2021,85.46,85.76,85.965,85.475,,
10/5/2021,85.53,85.64,85.825,85.475,,
10/4/2021,85.24,85.475,85.66,85.37,,
10/1/2021,85.26,85.725,85.765,85.64,,
9/30/2021,85.6,85.475,85.66,85.465,,
9/29/2021,85.29,85.65,85.695,85.295,,
9/28/2021,85.09,85.545,85.68,85.245,,
9/27/2021,84.75,85.46,85.575,84.98,,
9/24/2021,84.61,85.16,85.17,85.095,,
9/23/2021,84.91,85.275,85.49,85.105,,
9/22/2021,85.18,85.275,85.395,85.24,,
9/21/2021,84.98,85.275,85.395,85.14,,
9/20/2021,84.63,85.31,85.345,84.94,,
9/17/2021,84.74,85.275,85.3,85.105,,
9/16/2021,85.25,85.175,85.315,85.14,,
9/15/2021,84.74,85.225,85.315,84.97,,
9/14/2021,85.2,85.175,85.24,85.115,,
9/13/2021,84.98,85.2,85.235,85.09,,
9/10/2021,84.49,85.025,85.035,84.95,,
9/9/2021,84.81,85.175,85.22,85.005,,
9/8/2021,84.81,85.175,85.245,85.005,,
9/7/2021,84.54,85.175,85.27,84.87,,
9/6/2021,85.15,85.175,85.225,85.175,,
9/2/2021,84.98,85.175,85.235,85.09,,
9/1/2021,84.64,85.15,85.24,84.92,,
8/31/2021,85.03,85.35,85.35,85.14,,
8/30/2021,84.69,85.25,85.27,85.08,,
8/27/2021,84.91,85.275,85.285,85.19,,
8/26/2021,85.25,85.15,85.36,85.14,,
8/25/2021,84.79,85.125,85.405,84.97,,
8/24/2021,84.74,85.225,85.355,84.945,,
8/23/2021,84.81,85.075,85.27,84.955,,
8/20/2021,84.48,85.085,85.105,84.97,,
8/19/2021,84.88,84.9,85.185,84.765,,
8/18/2021,84.58,84.94,85.055,84.77,,
8/17/2021,84.58,84.87,85.12,84.63,,
8/16/2021,84.36,84.82,85.08,84.46,,
8/13/2021,84.08,84.66,84.66,84.61,,
8/12/2021,84.25,84.82,84.965,84.545,,
8/11/2021,84.33,84.83,84.95,84.585,,
8/10/2021,84.47,84.82,84.96,84.65,,
8/9/2021,84.48,84.82,84.985,84.51,,
8/6/2021,84.17,84.67,84.67,84.67,,
8/5/2021,84.21,84.82,84.98,84.51,,
8/3/2021,84.81,84.805,84.82,84.805,,
8/2/2021,84.8,84.81,84.81,84.795,,
7/30/2021,84.25,84.875,84.885,84.805,,
7/29/2021,84.46,84.805,85.07,84.615,,
7/28/2021,84.42,84.805,85.04,84.475,,
7/27/2021,84.8,84.805,84.805,84.805,,
7/26/2021,84.8,84.805,84.805,84.805,,
7/23/2021,84.14,84.825,84.855,84.67,,
7/22/2021,84.62,84.885,84.885,84.885,,
7/19/2021,84.79,84.805,84.805,84.795,,
7/15/2021,84.8,84.805,84.805,84.805,,
7/14/2021,84.8,84.805,84.805,84.805,,
7/13/2021,84.8,84.805,84.805,84.805,,
7/12/2021,84.51,84.805,84.85,84.66,,
7/9/2021,84.12,84.785,84.805,84.615,,
7/8/2021,84.63,84.805,84.84,84.72,,
7/7/2021,84.63,84.805,84.835,84.72,,
7/6/2021,84.42,84.805,84.86,84.615,,
7/5/2021,84.63,84.85,84.85,84.72,,
7/2/2021,84.34,84.825,84.825,84.825,,
7/1/2021,84.4,84.755,84.93,84.67,,
6/30/2021,84.57,84.73,84.87,84.665,,
6/29/2021,84.63,84.805,84.86,84.72,,
6/28/2021,84.44,84.805,84.89,84.62,,
6/25/2021,84.2,84.725,84.725,84.64,,
6/24/2021,84.51,84.805,84.895,84.655,,
6/23/2021,84.36,84.795,84.875,84.58,,
6/22/2021,84.39,84.795,84.86,84.595,,
6/21/2021,84.51,84.795,84.845,84.655,,
6/18/2021,84.45,84.78,84.78,84.78,,
6/17/2021,84.62,84.805,84.84,84.71,,
6/16/2021,84.63,84.795,84.835,84.715,,
6/15/2021,84.62,84.795,84.835,84.71,,
6/14/2021,84.39,84.805,85.03,84.57,,
6/11/2021,84.34,84.71,84.945,84.625,,
6/10/2021,84.8,84.795,84.805,84.795,,
6/9/2021,84.51,84.805,84.855,84.625,,
6/8/2021,84.45,84.795,84.855,84.54,,
6/7/2021,84.28,84.795,84.925,84.405,,
6/4/2021,84.01,84.62,84.64,84.515,,
6/3/2021,84.39,84.795,84.86,84.595,,
6/2/2021,84.62,84.795,84.835,84.71,,
6/1/2021,84.4,84.795,84.845,84.6,,
5/31/2021,84.54,84.795,84.86,84.67,,
5/28/2021,84.28,84.775,84.785,84.69,,
5/27/2021,84.62,84.795,84.83,84.71,,
5/26/2021,84.23,84.7,84.895,84.56,,
5/25/2021,84.51,84.795,84.865,84.595,,
5/24/2021,84.39,84.795,85.005,84.535,,
5/21/2021,84.27,84.81,84.835,84.72,,
5/20/2021,84.62,84.795,84.9,84.71,,
5/19/2021,84.62,84.795,84.84,84.655,,
5/18/2021,84.51,84.795,84.84,84.655,,
5/17/2021,84.51,84.795,84.845,84.655,,
5/14/2021,84.06,84.79,84.79,84.605,,
5/13/2021,84.45,84.78,84.785,84.78,,
5/12/2021,84.62,84.795,84.835,84.71,,
5/11/2021,84.39,84.795,84.85,84.595,,
5/10/2021,84.45,84.885,84.91,84.8,,
5/7/2021,84.28,84.745,84.87,84.575,,
5/6/2021,84.62,84.795,84.94,84.545,,
5/5/2021,84.29,84.795,84.94,84.545,,
5/4/2021,84.62,84.795,84.835,84.71,,
5/3/2021,84.62,84.795,84.965,84.54,,
4/30/2021,84.28,84.745,84.88,84.575,,
4/29/2021,84.62,84.795,84.83,84.71,,
4/28/2021,84.62,84.795,84.835,84.71,,
4/27/2021,84.62,84.795,84.83,84.71,,
4/26/2021,84.62,84.795,84.835,84.71,,
4/23/2021,84.17,84.7,84.8,84.53,,
4/22/2021,84.51,84.795,84.84,84.655,,
4/21/2021,84.39,84.795,84.85,84.595,,
4/20/2021,84.51,84.795,84.84,84.655,,
4/19/2021,84.51,84.795,84.84,84.655,,
4/16/2021,84.28,84.745,84.875,84.575,,
4/15/2021,84.62,84.795,84.83,84.71,,
4/13/2021,84.62,84.795,84.835,84.71,,
4/12/2021,84.35,84.795,85,84.48,,
4/9/2021,84.16,84.755,84.755,84.675,,
4/8/2021,84.43,84.795,84.85,84.615,,
4/7/2021,84.62,84.8,84.835,84.71,,
4/6/2021,84.62,84.795,84.83,84.71,,
4/5/2021,84.39,84.795,84.915,84.5,,
4/2/2021,84.2,84.71,84.745,84.585,,
4/1/2021,84.54,84.795,84.92,84.585,,
3/31/2021,84.37,84.795,84.92,84.585,,
3/30/2021,84.45,84.775,84.79,84.775,,
3/29/2021,84.62,84.795,84.83,84.71,,
3/26/2021,84.03,84.655,84.675,84.53,,
3/25/2021,84.45,84.795,84.84,84.625,,
3/24/2021,84.56,84.795,84.84,84.68,,
3/23/2021,84.37,84.805,84.905,84.585,,
3/22/2021,84.39,84.795,84.86,84.595,,
3/19/2021,84.14,84.675,84.82,84.52,,
3/18/2021,84.18,84.795,84.95,84.49,,
3/16/2021,84.79,84.795,84.795,84.795,,
3/15/2021,84.45,84.795,84.845,84.625,,
3/12/2021,84.6,84.715,84.885,84.43,,
3/11/2021,84.54,84.805,84.845,84.67,,
3/10/2021,84.54,84.805,84.86,84.67,,
3/9/2021,84.59,84.795,84.865,84.695,,
3/8/2021,84.59,84.805,84.975,84.695,,
3/5/2021,84.62,84.665,84.885,84.665,,
3/4/2021,84.79,84.805,84.805,84.795,,
3/3/2021,84.45,84.805,84.85,84.625,,
3/2/2021,84.45,84.805,84.895,84.625,,
3/1/2021,84.06,84.805,84.975,84.43,,
2/26/2021,84.62,84.885,84.885,84.885,,
2/25/2021,84.79,84.795,84.805,84.795,,
2/24/2021,84.62,84.805,84.83,84.71,,
2/23/2021,84.37,84.805,84.87,84.485,,
2/22/2021,84.17,84.795,84.91,84.485,,
2/19/2021,84.27,84.665,84.73,84.58,,
2/18/2021,84.44,84.795,84.84,84.62,,
2/17/2021,84.56,84.795,84.84,84.68,,
2/16/2021,84.11,84.805,84.865,84.455,,
2/15/2021,84.63,84.795,84.905,84.51,,
2/12/2021,84.22,84.685,84.7,84.6,,
2/11/2021,84.54,84.795,84.875,84.585,,
2/10/2021,84.79,84.805,84.805,84.795,,
2/9/2021,84.37,84.805,84.875,84.585,,
2/8/2021,84.44,84.795,84.97,84.415,,
2/5/2021,84.03,84.725,84.84,84.47,,
2/4/2021,84.54,84.805,84.855,84.67,,
2/3/2021,84.28,84.805,84.915,84.54,,
2/2/2021,84.45,84.805,85.055,84.585,,
2/1/2021,84.79,84.805,84.805,84.795,,
1/29/2021,84.37,84.83,84.84,84.83,,
1/28/2021,84.54,84.805,84.855,84.67,,
1/27/2021,84.58,84.805,84.835,84.69,,
1/26/2021,84.13,84.805,84.855,84.465,,
1/25/2021,84.29,84.805,84.885,84.545,,
1/22/2021,84.15,84.695,84.9,84.625,,
1/21/2021,84.79,84.805,84.805,84.795,,
1/20/2021,84.29,84.795,84.95,84.545,,
1/19/2021,84.28,84.805,84.955,84.54,,
1/18/2021,84.8,84.795,84.805,84.795,,
1/14/2021,84.28,84.805,84.965,84.54,,
1/13/2021,84.15,84.795,84.99,84.475,,
1/12/2021,84.29,84.795,84.94,84.545,,
1/11/2021,84.28,84.795,84.955,84.455,,
1/8/2021,84.33,84.765,84.765,84.765,,
1/7/2021,84.33,84.805,84.99,84.54,,
1/6/2021,84.79,84.795,84.805,84.795,,
1/5/2021,84.29,84.805,84.935,84.525,,
1/4/2021,84.25,84.805,84.935,84.48,,
1/1/2021,85.069,85.069,85.069,85.069,,
12/31/2020,84.27,84.575,84.62,84.47,,
12/30/2020,84.45,84.805,84.885,84.625,,
12/29/2020,84.46,84.795,84.885,84.63,,
12/28/2020,84.49,84.805,84.95,84.625,,
12/24/2020,84.51,84.805,84.955,84.655,,
12/23/2020,84.45,84.795,84.95,84.585,,
12/22/2020,84.37,84.795,84.94,84.585,,
12/21/2020,84.32,84.795,84.955,84.54,,
12/18/2020,84.18,84.835,84.865,84.61,,
12/17/2020,84.63,84.805,84.92,84.715,,
12/16/2020,84.43,84.815,84.825,84.76,,
12/15/2020,84.54,84.795,84.935,84.595,,
12/14/2020,84.39,84.795,84.925,84.54,,
12/11/2020,84.5,84.715,84.765,84.55,,
12/10/2020,84.45,84.79,84.925,84.6,,
12/9/2020,84.46,84.795,84.915,84.6,,
12/8/2020,84.4,84.795,84.92,84.6,,
12/7/2020,84.45,84.805,85.045,84.49,,
12/4/2020,84.18,84.79,84.9,84.65,,
12/3/2020,84.39,84.805,84.995,84.485,,
12/2/2020,84.36,84.805,84.985,84.54,,
12/1/2020,84.36,84.805,84.975,84.58,,
11/30/2020,84.46,84.795,84.98,84.63,,
11/27/2020,84.45,84.725,84.735,84.64,,
11/26/2020,84.79,84.795,84.805,84.795,,
11/25/2020,84.46,84.805,84.835,84.63,,
11/24/2020,84.45,84.805,84.84,84.625,,
11/23/2020,84.41,84.795,85.015,84.35,,
11/20/2020,84.565,84.695,84.73,84.53,,
11/19/2020,84.33,84.805,85.005,84.46,,
11/18/2020,84.29,84.795,85.005,84.435,,
11/17/2020,84.2,84.805,84.95,84.5,,
11/16/2020,84.45,84.795,85.06,84.605,,
11/13/2020,84.41,84.915,84.915,84.865,,
11/12/2020,84.37,84.795,85.05,84.575,,
11/11/2020,84.4,84.795,85,84.505,,
11/10/2020,84.39,84.795,84.95,84.54,,
11/9/2020,84.43,84.805,84.935,84.6,,
11/6/2020,84.37,84.795,84.805,84.72,,
11/5/2020,84.43,84.8,84.93,84.615,,
11/4/2020,84.22,84.795,84.965,84.485,,
11/3/2020,84.79,84.805,84.805,84.795,,
11/2/2020,84.17,84.795,85.02,84.485,,
