"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2020","84.650","84.900","84.960","84.850","0.01K","0.00%"
"03/16/2020","84.650","84.945","85.035","84.800","0.02K","0.00%"
"03/13/2020","84.650","84.820","84.880","84.820","0.01K","-0.05%"
"03/12/2020","84.690","84.945","84.955","84.820","0.01K","-0.29%"
"03/11/2020","84.940","84.945","85.035","84.800","0.01K","0.00%"
"03/10/2020","84.940","84.945","84.955","84.820","0.01K","0.34%"
"03/09/2020","84.650","84.925","85.065","84.800","0.02K","0.00%"
"03/06/2020","84.650","84.890","85.150","84.890","0.02K","0.00%"
"03/05/2020","84.650","84.945","85.085","84.800","0.01K","0.00%"
"03/04/2020","84.650","84.945","85.035","84.800","0.02K","0.00%"
"03/03/2020","84.650","84.945","85.015","84.800","0.01K","0.00%"
"03/02/2020","84.650","84.945","85.085","84.800","0.02K","0.00%"
"02/28/2020","84.650","84.850","84.940","84.850","0.01K","0.00%"
"02/27/2020","84.650","84.945","84.985","84.800","0.01K","-0.06%"
"02/26/2020","84.700","84.945","85.015","84.825","0.01K","0.06%"
"02/25/2020","84.650","84.945","85.005","84.800","0.01K","0.00%"
"02/24/2020","84.650","84.830","85.195","84.775","0.02K","0.00%"
"02/21/2020","84.650","84.830","85.040","84.830","0.01K","0.00%"
"02/20/2020","84.650","84.945","85.085","84.800","0.02K","0.00%"
"02/19/2020","84.650","84.945","85.055","84.800","0.02K","0.00%"
"02/18/2020","84.650","84.945","85.025","84.775","0.02K","-0.34%"
"02/17/2020","84.940","84.945","84.945","84.945","","0.34%"
"02/14/2020","84.650","84.830","84.910","84.830","0.00K","0.00%"
"02/13/2020","84.650","84.945","85.035","84.800","0.01K","0.00%"
"02/12/2020","84.650","84.945","84.995","84.800","0.01K","0.00%"
"02/11/2020","84.650","84.945","85.025","84.775","0.01K","0.00%"
"02/10/2020","84.650","84.945","85.045","84.800","0.02K","0.00%"
"02/07/2020","84.650","84.880","84.950","84.830","0.01K","0.00%"
"02/06/2020","84.650","84.945","85.015","84.800","0.01K","-0.06%"
"02/05/2020","84.700","84.945","85.055","84.775","0.02K","0.06%"
"02/04/2020","84.650","84.945","84.995","84.800","0.01K","0.06%"
"02/03/2020","84.600","84.895","85.075","84.750","0.02K","0.00%"
"01/31/2020","84.600","84.830","84.930","84.830","0.01K","0.00%"
"01/30/2020","84.600","84.895","84.965","84.750","0.01K","0.00%"
"01/29/2020","84.600","84.895","84.985","84.750","0.01K","0.00%"
"01/28/2020","84.600","84.895","84.955","84.750","0.01K","0.00%"
"01/27/2020","84.600","84.895","84.975","84.750","0.01K","0.00%"
"01/24/2020","84.600","84.850","84.890","84.830","0.01K","0.00%"
"01/23/2020","84.600","84.780","84.985","84.750","0.02K","0.00%"
"01/22/2020","84.600","84.895","84.975","84.750","0.02K","-0.34%"
"01/21/2020","84.890","84.895","84.895","84.895","","0.00%"
"01/20/2020","84.890","84.895","84.895","84.895","","0.11%"
"01/17/2020","84.800","84.800","84.800","84.800","","0.24%"
"01/16/2020","84.600","84.895","84.945","84.750","0.01K","0.00%"
"01/15/2020","84.600","84.895","84.975","84.750","0.02K","0.00%"
"01/14/2020","84.600","84.895","84.995","84.695","0.02K","-0.34%"
"01/13/2020","84.890","84.895","84.895","84.895","","0.34%"
"01/10/2020","84.600","84.820","84.990","84.820","0.02K","0.00%"
"01/09/2020","84.600","84.895","84.955","84.750","0.01K","0.00%"
"01/08/2020","84.600","84.895","84.985","84.750","0.02K","0.00%"
"01/07/2020","84.600","84.895","85.005","84.750","0.02K","0.00%"
"01/06/2020","84.600","84.895","84.955","84.750","0.01K","0.00%"
"01/03/2020","84.600","84.780","84.890","84.780","0.01K","0.00%"
"01/02/2020","84.600","84.895","84.925","84.750","0.01K","-0.34%"
"01/01/2020","84.890","84.895","84.895","84.895","","0.00%"
"12/31/2019","84.890","84.895","84.895","84.895","","0.00%"
"12/30/2019","84.890","84.895","84.895","84.895","","-0.05%"
"12/27/2019","84.930","84.930","84.930","84.930","","0.39%"
"12/26/2019","84.600","84.895","85.075","84.750","0.02K","-0.29%"
